S. No.,AISHE Code,Institute Name,State Name,Management Type
63,C-60280,"College of Nursing,  Army Hospital (RR)",Delhi,Central Government
64,C-32834,"College of Nursing,Dr. Ram Manohar Lohia Hospital",Delhi,Central Government
65,C-32925,"College of Nursing,Safdarjang Hospital",Delhi,Central Government
66,C-6409,Deshbandhu College,Delhi,Central Government
67,C-27613,Dyal Singh College (Evening),Delhi,Central Government
68,C-32907,ESIC Dental College,Delhi,Central Government
69,C-6429,Gargi College,Delhi,Central Government
70,C-6425,Hans Raj College,Delhi,Central Government
71,U-0101,Indian Agricultural Research Institute,Delhi,Central Government
72,U-0102,Indian Institute of Foreign Trade,Delhi,Central Government
73,U-1340,"INDIAN INSTITUTE OF MASS COMMUNICATION, NEW DELHI",Delhi,Central Government
74,U-0100,Indian Institute of Technology Delhi,Delhi,Central Government
75,U-0103,Indian Law Institute,Delhi,Central Government
76,S-21107,INDIAN SIGN LANGUAGE RESEARCH AND TRAINING CENTRE,Delhi,Central Government
77,U-0104,Indira Gandhi National Open University (IGNOU),Delhi,Central Government
78,U-0108,Jamia Millia Islamia,Delhi,Central Government
79,U-0109,Jawaharlal Nehru University,Delhi,Central Government
80,C-6402,Kalindi College,Delhi,Central Government
81,C-6381,Keshav Mahavidyalya,Delhi,Central Government
82,C-6385,Kirori Mal College,Delhi,Central Government
83,C-22461,Lady Hardinge Medical College,Delhi,Central Government
84,C-6355,Miranda House,Delhi,Central Government
85,U-1187,National Forensic Sciences University,Delhi,Central Government
86,U-0114,National Institute of Educational Planning & Administration,Delhi,Central Government
87,U-0110,"National Institute of Fashion Technology, Hauz Khas",Delhi,Central Government
88,U-0622,National Institute of Technology Delhi,Delhi,Central Government
89,U-0112,National Museum Institute of History of Art Conservation and Museology,Delhi,Central Government
90,C-6431,Ramanujan College,Delhi,Central Government
91,U-0116,School of Planning and Architecture New Delhi,Delhi,Central Government
92,C-6366,Shivaji College,Delhi,Central Government
93,U-0117,Shri Lal Bahadur Shastri National Sanskrit University,Delhi,Central Government
94,C-6419,Shri Ram College of Commerce,Delhi,Central Government
95,C-6372,Shyama Prasad Mukherji College for Women,Delhi,Central Government
96,U-0118,"South Asian University, New Delhi",Delhi,Central Government
97,C-6362,Sri Aurobindo College,Delhi,Central Government
98,C-22465,Sri Aurobindo College (Eve.),Delhi,Central Government
99,C-6369,Sri Venkateswara College,Delhi,Central Government
100,C-6404,Swami Shraddhanand College,Delhi,Central Government
