S. No.,AISHE Code,Institute Name,State Name,Management Type
326,U-0456,Indian Institute of Technology Madras,Tamil Nadu,Central Government
327,U-0457,Indian Maritime University,Tamil Nadu,Central Government
328,C-61184,"INDIAN MARITIME UNIVERSITY, CHENNAI",Tamil Nadu,Central Government
329,C-39255,"Indira Gandhi Centre for Atomic Research (IGCAR), Kalpakkam",Tamil Nadu,Central Government
330,S-15827,"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, TARAMANI, CHENNAI",Tamil Nadu,Central Government
331,C-43991,NATESAN INSTITUTE OF CO-OPERATIVE MANAGEMENT,Tamil Nadu,Central Government
332,C-14544,National Institute for Empowerment of Persons with Multiple Disabilities (NIEPMD),Tamil Nadu,Central Government
333,C-45448,"NATIONAL INSTITUTE OF  SIDDHA (Inst. Code - 183), TAMBARAM SANITORIUM, CHENNAI",Tamil Nadu,Central Government
334,C-47470,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, CHENNAI",Tamil Nadu,Central Government
335,U-1317,"National Institute of Food Technology, Entrepreneurship and Management",Tamil Nadu,Central Government
336,U-1331,"NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING AND RESEARCH, CHENNAI",Tamil Nadu,Central Government
337,U-0467,National Institute of Technology Tiruchirappalli,Tamil Nadu,Central Government
338,U-0472,"Rajiv Gandhi National Instiute of Youth Development, Sriperumbudur",Tamil Nadu,Central Government
339,C-67493,SARDAR VALLABHAI PATEL INTERNATIONAL SCHOOL OF TEXTILE AND  MANAGEMENT,Tamil Nadu,Central Government
340,C-39252,"The Institute of Mathematical Sciences (IMSc),chennai",Tamil Nadu,Central Government
341,S-8953,"THE KALAKSHETRA FOUNDATION, CHENNAI",Tamil Nadu,Central Government
342,U-1108,ALL INDIA INSTITUTE OF MEDICAL SCIENCE  BIBINAGAR,Telangana,Central Government
343,C-25541,Central Research Institute of Unani Medicine,Telangana,Central Government
344,C-58477,ESIC Medical College,Telangana,Central Government
345,C-58651,Footwear Design and Development Institute - Hyderabad,Telangana,Central Government
346,U-0013,Indian Institute of Technology Hyderabad,Telangana,Central Government
347,U-0023,"Maulana Azad National Urdu University, Hyderabad",Telangana,Central Government
348,C-60113,MILITARYCOLLEGE OF ELECTRONICS AND MECHANICAL ENGINEERING,Telangana,Central Government
349,S-25,NATIONAL ACADEMY OF AGRICULTURE RESEARCH MANAGEMENT,Telangana,Central Government
350,C-25709,National Institute for the Mentally Handicapped,Telangana,Central Government
351,S-14553,National Institute of Agricultural Extension Management,Telangana,Central Government
352,U-1118,National Institute of Pharmaceutical Education and Research Hyderabad,Telangana,Central Government
353,U-0025,National Institute of Technology Warangal,Telangana,Central Government
354,C-26044,Railway Degree College,Telangana,Central Government
355,U-0041,"The English and Foreign Languages University, Hyderabad",Telangana,Central Government
356,U-0042,University of Hyderabad,Telangana,Central Government
357,C-50817,DIU COLLEGE,The Dadra and Nagar Haveli and Daman and Diu,Central Government
358,C-47929,DR B B A GOVERNMENT POLYTECHNIC,The Dadra and Nagar Haveli and Daman and Diu,Central Government
359,C-59611,"GOVERNMENT COLLEGE OF NURSING, DAMAN",The Dadra and Nagar Haveli and Daman and Diu,Central Government
360,C-60284,GOVERNMENT ENGINEERING COLLEGE DAMAN,The Dadra and Nagar Haveli and Daman and Diu,Central Government
361,C-52604,"GOVERNMENT POLYTECHNIC, DIU",The Dadra and Nagar Haveli and Daman and Diu,Central Government
362,C-63929,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY VADODARA INTERNATIONAL CAMPUS DIU,The Dadra and Nagar Haveli and Daman and Diu,Central Government
363,C-48563,"Shri Vinoba Bhave College of Nursing, Silvassa",The Dadra and Nagar Haveli and Daman and Diu,Central Government
364,C-65956,SHRI VINOBA BHAVE INSTITUTE OF MEDICAL SCIENCE AND RESEARCH,The Dadra and Nagar Haveli and Daman and Diu,Central Government
365,S-19405,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY (CIPET)  AGARTALA,Tripura,Central Government
366,U-1158,Indian Institute of Information Technology Agartala,Tripura,Central Government
367,C-70716,"National Forensic Sciences University, Tripura",Tripura,Central Government
368,C-47426,"NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY, AGARTALA",Tripura,Central Government
369,U-0493,National Institute of Technology Agartala,Tripura,Central Government
370,S-18150,NATIONAL SCHOOL OF DRAMA (THEATRE-IN-EDUCATION WING),Tripura,Central Government
371,U-0495,"Tripura University, Agartala",Tripura,Central Government
372,U-0713,Academy of Scientific and Innovative Research,Uttar Pradesh,Central Government
373,U-0496,Aligarh Muslim University,Uttar Pradesh,Central Government
374,U-1180,ALL INDIA INSTITUTE OF MEDICAL SCIENCE GORAKHPUR,Uttar Pradesh,Central Government
375,U-1092,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS), RAEBARELI",Uttar Pradesh,Central Government
376,U-0498,Babasaheb Bhimrao Ambedkar University,Uttar Pradesh,Central Government
377,U-0500,Banaras Hindu University,Uttar Pradesh,Central Government
378,C-32889,"C - DAC, NOIDA",Uttar Pradesh,Central Government
379,U-0503,"Central Institute of Higher Tibetan Studies, Varanasi",Uttar Pradesh,Central Government
380,U-0898,Footwear Design and Development Institute,Uttar Pradesh,Central Government
381,C-58652,FOOTWEAR DESIGN AND DEVELOPMENT INSTITUTE - RAE BARELI,Uttar Pradesh,Central Government
382,C-12510,"I.G.R.U. ACADEMY, FURSATGANJ AIRFIELD,",Uttar Pradesh,Central Government
383,C-46732,"INDIAN INSTITUTE OF CARPET TECHNOLOGY, BHADOHI",Uttar Pradesh,Central Government
384,S-14554,"INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, VARANASI",Uttar Pradesh,Central Government
385,U-0516,Indian Institute of Information Technology Allahabad,Uttar Pradesh,Central Government
386,U-0801,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, LUCKNOW",Uttar Pradesh,Central Government
387,U-1008,Indian Institute of Management Lucknow,Uttar Pradesh,Central Government
388,U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Uttar Pradesh,Central Government
389,U-0517,Indian Institute of Technology Kanpur,Uttar Pradesh,Central Government
390,U-0518,"Indian Veterinary Research Institute, Izatnagar",Uttar Pradesh,Central Government
391,U-0530,"Motilal Nehru National Institute of Technology, Allahabad",Uttar Pradesh,Central Government
392,S-17656,National Institute of Pharmaceutical Education and Research Raebareli,Uttar Pradesh,Central Government
393,S-8962,"NATIONAL SUGER INSTITUTE, KANPUR",Uttar Pradesh,Central Government
394,U-0535,Rajiv Gandhi Institute of Petroleum Technology,Uttar Pradesh,Central Government
395,U-1117,RAJIV GANDHI NATIONAL AVIATION UNIVERSITY,Uttar Pradesh,Central Government
396,U-1198,Rani Lakshmi Bai Central Agricultural University,Uttar Pradesh,Central Government
397,U-0548,"University of Allahabad, Allahabad",Uttar Pradesh,Central Government
398,U-0691,All India Institute of Medical Sciences Rishikesh,Uttarakhand,Central Government
399,U-0553,"Forest Research Institute, Dehradun",Uttarakhand,Central Government
400,U-0557,"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal",Uttarakhand,Central Government
401,U-1009,Indian Institute of Management Kashipur,Uttarakhand,Central Government
402,U-0560,Indian Institute of Technology Roorkee,Uttarakhand,Central Government
403,U-0616,National Institute of Technology Uttarakhand,Uttarakhand,Central Government
404,C-16448,Ali Yabar Jung National Institute of Hearing Handicapped,West Bengal,Central Government
405,C-16390,All India Institute of Hygiene and Public Health,West Bengal,Central Government
406,U-1052,ALL INDIA INSTITUTE OF MEDICAL SCIENCE KALYANI,West Bengal,Central Government
407,C-16396,Central Research Institute of Ayurveda,West Bengal,Central Government
408,C-44043,Central Sericultural Research & Training Institute,West Bengal,Central Government
409,S-10893,CENTRAL TOOL ROOM & TRAINING CENTRE NORTH 24 PARGANAS,West Bengal,Central Government
410,C-16410,Chittaranjan National Cancer Institute,West Bengal,Central Government
411,C-16434,"College of Nursing, Command Hospital",West Bengal,Central Government
412,C-16409,Command Hospital,West Bengal,Central Government
413,C-16426,"E S I, Joka",West Bengal,Central Government
414,U-1049,INDIAN ASSOCIATION FOR THE CULTIVATION OF SCIENCE,West Bengal,Central Government
415,U-0584,"INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR",West Bengal,Central Government
416,S-15353,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,West Bengal,Central Government
417,U-0796,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI",West Bengal,Central Government
418,U-1019,Indian Institute of Management Calcutta,West Bengal,Central Government
419,U-0572,Indian Institute of Science Education and Research Kolkata,West Bengal,Central Government
420,U-0573,Indian Institute of Technology Kharagpur,West Bengal,Central Government
421,U-0574,"Indian Statistical Institute, Kolkata",West Bengal,Central Government
422,C-43354,National Institute for Mentally Handicapped,West Bengal,Central Government
423,C-16392,National Institute of Homoeopathy,West Bengal,Central Government
424,S-19746,National Institute of Pharmaceutical Education and Research Kolkata,West Bengal,Central Government
425,U-1330,National Institute of Technical Teachers Training and Research Kolkata,West Bengal,Central Government
426,U-0577,National Institute of Technology Durgapur,West Bengal,Central Government
427,C-39254,"Saha Institute of Nuclear Physics (SINP),Kolkata",West Bengal,Central Government
428,C-39251,"Variable Energy Cyclotron Centre (VECC),Kolkata",West Bengal,Central Government
429,U-0589,"Visva Bharati, Shantiniketan",West Bengal,Central Government
