Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0370,Sri Balaji Vidyapeeth (Deemed to be University),Puducherry,Puducherry,sbvu.ac.in,2001,Rural
U-0477,"Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya, Kancheepuram",Tamil Nadu,Kancheepuram,http://www.kanchiuniv.ac.in,1976,Rural
U-0241,"Sri Devaraj Urs Academy of Higher Education and Research, Kolar",Karnataka,Kolar,www.sduaher.ac.in,1986,Rural
U-0478,Sri Ramachandra Institute of Higher Education and Research (Deemed University),Tamil Nadu,Thiruvallur,www.sriramachandra.edu.in,1985,Urban
U-0035,Sri Sathya Sai Institute of Higher Learning,Andhra Pradesh,Sri Sathya Sai,www.sssihl.edu.in,1981,Urban
U-0242,Sri Siddhartha Academy of Higher Education,Karnataka,Tumakuru,www.sahe.in,2008,Rural
U-0473,"S.R.M. Institute of Science & Technology, Chennai",Tamil Nadu,Chengalpattu,www.srmist.edu.in,1985,Rural
U-1337,St. Aloysius,Karnataka,Dakshina Kannada,https://staloysius.edu.in/,-,Urban
U-0479,"St. Peter's Institute of Higher Education and Research, Chennai",Tamil Nadu,Thiruvallur,www.spiher.ac.in,1993,Urban
U-0154,"Sumandeep Vidyapeeth, Vadodara",Gujarat,Vadodara,www.sumandeepvidyapeethdu.edu.in,2007,Rural
U-0243,"Swami Vivekananda Yoga Anusandhana Samsthan, Bangalore",Karnataka,Bengaluru Urban,www.svyasa.edu.in,2002,Rural
U-0329,"Symbiosis International (Deemed University), Pune",Maharashtra,Pune,www.siu.edu.in,2002,Rural
U-1448,TCG CREST University,West Bengal,Kolkata,,-,Urban
U-0119,"TERI School of Advanced Studies, New Delhi",Delhi,New Delhi,www.terisas.ac.in,1998,Urban
U-0385,"Thapar Institute of Engineering and Technology, Patiala",Punjab,Patiala,www.thapar.edu,1956,Urban
U-0333,"Tilak Maharashtra Vidyapeeth, Pune",Maharashtra,Pune,www.tmv.edu.in,1921,Urban
U-0490,"Vellore Institute of Technology, Vellore",Tamil Nadu,Vellore,www.vit.ac.in,1984,Urban
U-0491,"Vels Institute of Science, Technology and Advanced Studies, Chennai",Tamil Nadu,Chengalpattu,www.vistas.ac.in,1992,Urban
U-0489,"Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science & Technology, Chennai",Tamil Nadu,Thiruvallur,www.veltech.edu.in,1997,Rural
U-0043,"Vignan's Foundation of Science, Technology & Research, Guntur",Andhra Pradesh,Guntur,www.vignan.ac.in,1997,Rural
U-0492,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM",Tamil Nadu,Salem,www.vmrfdu.edu.in,1982,Rural
U-0250,"Yenepoya (deemed to be University), Mangalore",Karnataka,Dakshina Kannada,www.yenepoya.edu.in,1992,Urban
