Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0828,"Indian Institute of Science Education & Research (IISER), Berhampur",Odisha,Ganjam,www.iiserbpr.ac.in,2016,Rural
U-0272,"Indian Institute of Science Education & Research (IISER), Bhopal",Madhya Pradesh,Bhopal,www.iiserb.ac.in,2008,Urban
U-0572,"Indian Institute of Science Education & Research (IISER), Kolkata,",West Bengal,Nadia,www.iiserkol.ac.in,2006,Urban
U-0377,"Indian Institute of Science Education & Research (IISER), Mohali",Punjab,S.A.S Nagar,www.iisermohali.ac.in,2007,Urban
U-0305,"Indian Institute of Science Education & Research (IISER), Pune,",Maharashtra,Pune,www.iiserpune.ac.in,2006,Urban
U-0254,"Indian Institute of Science Education & Research (IISER), Thiruvananthapuram",Kerala,Thiruvananthapuram,http://www.iisertvm.ac.in,2008,Rural
U-0827,"Indian Institute of Science Education & Research (IISER), Tirupati",Andhra Pradesh,Chittoor,www.iisertirupati.ac.in,2015,Rural
