Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-1028,NATIONAL INSTITUTE OF DESIGN,Gujarat,Ahmedabad,www.nid.edu,1961,Urban
U-1192,NATIONAL INSTITUTE OF DESIGN ANDHRA PRADESH,Andhra Pradesh,Guntur,www.nid.ac.in,2015,Rural
U-1045,"NATIONAL INSTITUTE OF DESIGN, ASSAM",Assam,Jorhat,www.nidj.ac.in,2015,Rural
U-1073,National Institute of Design Haryana,Haryana,Kurukshetra,www.nidh.ac.in,2016,Rural
U-1094,NATIONAL INSTITUTE OF DESIGN (NID) MADHYA PRADESH,Madhya Pradesh,Bhopal,https://nidmp.ac.in,2019,Rural
