Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0425,"Singhania University, Jhunjhunu",Rajasthan,Jhunjhunu,https://singhaniauniversity.ac.in/,2007,Rural
U-0426,"Sir Padampat Singhania University, Udaipur",Rajasthan,Udaipur,https://www.spsu.ac.in,2007,Rural
U-0939,SISTER NIVEDITA UNIVERSITY,West Bengal,North 24 Parganas,www.snuniv.ac.in,2018,Urban
U-1370,SKIPS University,Gujarat,Gandhinagar,www.skipsuniversity.edu.in,-,Urban
U-1375,SKS International University,Uttar Pradesh,Mathura,www.sksinternationaluniversity.ac.in,-,Urban
U-1356,Smt Manjira Devi University,Uttarakhand,Uttarkashi,www.smdu.edu.in,-,Rural
U-1085,"SOMAIYA VIDYAVIHAR UNIVERSITY, MUMBAI",Maharashtra,Mumbai,www.somaiya.edu,2019,Urban
U-1314,Sona Devi University,Jharkhand,East Singhbum,www.sonadeviuniversity.ac.in,-,Rural
U-0992,SPICER ADVENTIST UNIVERSITY,Maharashtra,Pune,https://sau.edu.in,2014,Urban
U-1363,Sreenidhi University,Telangana,MEDCHAL MALKAJGIRI,https://suh.edu.in,-,Urban
U-1167,SRI AUROBINDO UNIVERSITY,Madhya Pradesh,Indore,www.sriaurobindounivesity.com,2020,Urban
U-1113,"SRI BALAJI UNIVERSITY, PUNE",Maharashtra,Pune,www.sbup.edu.in,2019,Urban
U-0606,"Sri Guru Granth Sahib World University, Fatehgarh Sahib",Punjab,Fatehgarh Sahib,www.sggswu.edu.in,2008,Urban
U-0913,Sri Guru Ram Das University of Health Sciences,Punjab,Amritsar,www.sgrduhs.in,2016,Rural
U-1233,SRINATH UNIVERSITY,Jharkhand,Saraikela Kharsawan,https://srinathuniversity.ac.in,2021,Urban
U-0935,SRINIVAS UNIVERSITY,Karnataka,Dakshina Kannada,www.srinivasuniversity.edu.in,2013,Urban
U-0599,"Sri Sai University, Palampur",Himachal Pradesh,Kangra,www.srisaiuniversity.org,2010,Rural
U-1241,SRI SATHYA SAI UNIVERSITY FOR HUMAN EXCELLENCE,Karnataka,Kalaburagi,sssuhe.ac.in,-,Rural
U-0728,"SRI SATYA SAI UNIVERSITY OF TECHNOLOGY & MEDICAL SCIENCES, SEHORE",Madhya Pradesh,Sehore,www.sssutms.co.in,2013,Rural
U-0649,SRI SRI UNIVERSITY,Odisha,Cuttack,www.srisriuniversity.edu.in,2009,Rural
U-1418,Sri Venkateshwara University,Sikkim,Pakyong,,-,Rural
U-1403,Sri Venkateswaraa University,Tamil Nadu,Thoothukkudi,www.svuniversity.ac.in,-,Rural
U-0934,"SRM University-AP, Amaravati",Andhra Pradesh,Guntur,www.srmap.edu.in,2017,Rural
U-0722,"SRM UNIVERSITY, SONEPAT",Haryana,Sonipat,www.srmuniversity.ac.in ,2013,Urban
U-1318,SR University,Telangana,Warangal,https://sru.edu.in/,-,Rural
U-0951,STAREX UNIVERSITY,Haryana,Gurugram,www.starexuniversity.com,2016,Rural
U-1229,St. Joseph's University,Karnataka,Bengaluru Urban,sju.edu.in,-,Urban
U-1409,St Joseph University,Tamil Nadu,Viluppuram,sju.ac.in,-,Rural
