Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0065,"Indira Gandhi Institute of Medical Sciences, Patna",Bihar,Patna,www.igims.org,1984,Urban
U-0026,"Nizam Institute of Medical Sciences,  Hyderabad",Telangana,Hyderabad,www.nims.edu.in,1989,Urban
U-1190,RAJASTHAN AYURVEDIC NURSING COUNCIL,Rajasthan,Jaipur,,2012,Urban
U-0538,"Sanjay Gandhi Post Graduate Institute of Medical Sciences, Lucknow",Uttar Pradesh,Lucknow,www.sgpgims.org.in,1983,Urban
U-0198,"Sher-e-Kashmir Institute of Medical Sciences, Srinagar",Jammu and Kashmir,Srinagar,http://skims.ac.in,1982,Urban
U-0036,"Sri Venkateswara Institute of Medical Sciences, Tirupathi",Andhra Pradesh,Chittoor,https://svimstpt.ap.nic.in,1993,Urban
