Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type
C-6047,Maniba College of Eduction,Gujarat,Ahmedabad,https://monarkuni.ac.in/faculty-of-education/,2007,Rural,Constituent / University College,University,U-1129,MONARK UNIVERSITY,State Private University
C-16181,Manikaka Topawala Institute of Nursing,Gujarat,Anand,www.charusat.ac.in,2009,Rural,Constituent / University College,University,U-0128,"Charotar University of Science & Technology,  Anand",State Private University
C-65882,MANIPAL ACADEMY OF HIGHER EDUCATION BANGALURU CAMPUS,Karnataka,Bengaluru Urban,www.manipal.edu,2020,Urban,Constituent / University College,Private Un-Aided,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-7240,"Manipal College of Dental Sciences, Mangalore",Karnataka,Dakshina Kannada,https://manipal.edu/mcods-mangalore.html,1987,Urban,Constituent / University College,University,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-7254,"Manipal College of Dental Sciences, Manipal",Karnataka,Udupi,www.manipal.edu,1965,Urban,Constituent / University College,University,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-7255,"Manipal College of Health Professions, Manipal",Karnataka,Udupi,www.manipal.edu,1999,Rural,Constituent / University College,Private Un-Aided,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-7247,"Manipal College of Nursing, Manipal",Karnataka,Udupi,www.manipal.edu,1990,Urban,Constituent / University College,Private Un-Aided,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-7249,"Manipal College of Pharmaceutical Sciences, Manipal",Karnataka,Udupi,www.manipal.edu,1963,Urban,Constituent / University College,Private Un-Aided,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-7245,"Manipal Institute of Communication, Manipal",Karnataka,Udupi,www.manipal.edu,1997,Urban,Constituent / University College,University,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-7244,"Manipal Institute of Management, Manipal",Karnataka,Udupi,www.manipal.edu,1999,Urban,Constituent / University College,University,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
