Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
53,National Spot Round,"Indian Institute of Space Science and Technology, Thiruvananthapuram",VLSI and Microsystems,Group 1,OBC-NCL,417,416
54,National Spot Round,"Indian Institute of Space Science and Technology, Thiruvananthapuram",VLSI and Microsystems,Group 1,OPEN,463,436
55,National Spot Round,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Earth System Science,Group 1,OPEN,352,352
56,National Spot Round,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Optical Engineering,Group 1,OPEN,350,350
57,National Spot Round,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Optical Engineering,Group 1,SC,252,252
58,National Spot Round,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 1,OBC-NCL,404,359
59,National Spot Round,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 2,OBC-NCL,338,331
60,National Spot Round,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 1,EWS,324,324
61,National Spot Round,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 1,OPEN,473,444
62,National Spot Round,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 2,OPEN,435,376
63,National Spot Round,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 1,SC,257,257
64,National Spot Round,"National Institute of Technology Karnataka, Surathkal",POWER ELECTRONICS AND CONTROL,Group 1,OBC-NCL,480,472
65,National Spot Round,"National Institute of Technology Karnataka, Surathkal",POWER ELECTRONICS AND CONTROL,Group 1,OPEN,504,496
66,National Spot Round,National Institute of Technology Agartala,Communication Systems & Signal Processing,Group 1,SC,226,226
67,National Spot Round,"Sardar Vallabhbhai National Institute of Technology, Surat",Control and Automation,Group 1,EWS,338,338
68,National Spot Round,National Institute of Technology Raipur,Medical Devices with a specialization in Critical Care and IVD,Group 2,OPEN,350,350
69,National Spot Round,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Defence and Space Electronics),Group 1,OPEN,362,362
70,National Spot Round,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Signal Processing and AI),Group 1,OPEN,395,385
71,National Spot Round,National Institute of Technology Calicut,Industrial Power & Automation,Group 1,ST,259,259
72,National Spot Round,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Semiconductor Chip Design),Group 1,OPEN,401,393
73,National Spot Round,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Semiconductor Chip Design),Group 1,SC,338,338
74,National Spot Round,National Institute of Technology Durgapur,AI and Data Analytics in Process Engg,Group 1,OBC-NCL,453,427
75,National Spot Round,National Institute of Technology Durgapur,AI and Data Analytics in Process Engg,Group 1,OPEN,503,486
76,National Spot Round,National Institute of Technology Durgapur,Robotics & Artificial Intelligence,Group 1,SC,262,256
77,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Autonomous Systems and Machine Intelligence,Group 1,OBC-NCL,381,356
78,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Autonomous Systems and Machine Intelligence,Group 1,EWS,405,405
79,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Autonomous Systems and Machine Intelligence,Group 1,OPEN,475,417
80,National Spot Round,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Autonomous Systems and Machine Intelligence,Group 1,SC,281,256
81,National Spot Round,"National Institute of Technical Teachers Training & Research, Kolkata",Artificial Intelligence and Machine Learning with Pedagogy,Group 1,OPEN,360,360
82,National Spot Round,"National Institute of Technical Teachers Training & Research, Kolkata",Artificial Intelligence and Machine Learning with Pedagogy,Group 1,SC,266,266
83,National Spot Round,Maulana Azad National Institute of Technology Bhopal,M Plan (Real Estate Planning),Group 1,SC,217,217
84,National Spot Round,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Advanced Manufacturing Technology,Group 1,ST,266,266
85,National Spot Round,"National Institute of Electronics and Information Technology, Calicut",Electronics Design technology,Group 1,OBC-NCL,330,330
86,National Spot Round,"National Institute of Electronics and Information Technology, Calicut",Electronics Design technology,Group 1,OPEN,469,409
87,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,M.Tech. in Medical Diagnostics and Devices,Group 1,SC,324,324
88,National Spot Round,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Artificial Intelligence and Machine Learning,Group 1,OPEN,510,467
89,National Spot Round,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Artificial Intelligence and Machine Learning,Group 1,SC,327,291
90,National Spot Round,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Artificial Intelligence and Machine Learning,Group 1,ST,306,306
91,National Spot Round,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Artificial Intelligence and Machine Learning,Group 1,OBC-NCL,418,417
92,National Spot Round,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Artificial Intelligence and Machine Learning,Group 1,EWS,418,401
93,National Spot Round,National Institute of Technology Uttarakhand,Artificial Intelligence and Machine Learning,Group 1,OPEN,423,414
94,National Spot Round,National Institute of Technology Uttarakhand,Artificial Intelligence and Machine Learning,Group 1,SC,291,283
95,National Spot Round,National Institute of Technology Uttarakhand,Artificial Intelligence and Machine Learning,Group 1,OBC-NCL,398,370
96,National Spot Round,National Institute of Technology Uttarakhand,Artificial Intelligence and Machine Learning,Group 1,EWS,364,364
97,National Spot Round,"Central University of Punjab, Bathinda, Punjab",Computer Science & Technology,Group 1,OPEN,380,356
98,National Spot Round,National Institute of Technology Agartala,Cyber Security,Group 1,OBC-NCL,337,337
99,National Spot Round,National Institute of Technology Agartala,Cyber Security,Group 1,OPEN,418,398
100,National Spot Round,National Institute of Technology Agartala,Cyber Security,Group 1,SC,261,255
101,National Spot Round,National Institute of Technology Patna,Cyber Security,Group 1,OBC-NCL,410,403
102,National Spot Round,National Institute of Technology Patna,Cyber Security,Group 1,EWS,417,417
103,National Spot Round,National Institute of Technology Patna,Cyber Security,Group 1,OPEN,436,420
104,National Spot Round,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Cyber Security,Group 1,OBC-NCL,352,328
105,National Spot Round,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Cyber Security,Group 1,OPEN,456,417
106,National Spot Round,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,Group 1,OBC-NCL,414,414
107,National Spot Round,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,Group 1,EWS,422,422
108,National Spot Round,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,Group 1,OPEN,476,475
109,National Spot Round,Indian Institute of Information Technology (IIIT) Surat,Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,Group 1,OBC-NCL,339,327
110,National Spot Round,Indian Institute of Information Technology (IIIT) Surat,Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,Group 1,OPEN,423,398
111,National Spot Round,Indian Institute of Information Technology (IIIT) Surat,Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,Group 2,OPEN,397,390
112,National Spot Round,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in Microelectronics and VLSI Systems,Group 1,OBC-NCL,365,365
113,National Spot Round,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in Microelectronics and VLSI Systems,Group 1,OPEN,385,385
114,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Advanced Computing,Group 1,OBC-NCL,486,456
115,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Advanced Computing,Group 1,OPEN,516,503
116,National Spot Round,"National Institute of Technology, Warangal",Automobile Engineering,Group 1,ST,334,334
117,National Spot Round,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Aerospace Engineering (Guided Missiles),Group 1,OPEN,376,376
118,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Artificial Intelligence,Group 1,OBC-NCL,502,473
119,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Artificial Intelligence,Group 1,EWS,453,453
120,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Artificial Intelligence,Group 1,OPEN,548,506
121,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Artificial Intelligence,Group 1,SC,338,338
122,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,Group 1,OBC-NCL,526,526
123,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,Group 2,OBC-NCL,417,417
124,National Spot Round,"Indian Institute of Information Technology, Vadodara, Gandhinagar Campus",Artificial Intelligence,Group 1,OPEN,487,444
125,National Spot Round,"Indian Institute of Information Technology, Vadodara, Diu Campus",Artificial Intelligence,Group 1,OPEN,405,398
126,National Spot Round,"Indian Institute of Information Technology, Vadodara, Diu Campus",Artificial Intelligence,Group 1,SC,311,311
127,National Spot Round,"National Institute of Electronics and Information Technology, Aurangabad",Artificial Intelligence,Group 2,OPEN,382,380
128,National Spot Round,University of Hyderabad,Artificial Intelligence,Group 1,OBC-NCL,446,370
129,National Spot Round,University of Hyderabad,Artificial Intelligence,Group 1,OPEN,537,493
130,National Spot Round,National Institute of Technology Agartala,Artificial Intelligence,Group 1,OBC-NCL,373,373
131,National Spot Round,National Institute of Technology Agartala,Artificial Intelligence,Group 1,OPEN,426,426
132,National Spot Round,National Institute of Technology Agartala,Artificial Intelligence,Group 1,SC,301,280
133,National Spot Round,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,OBC-NCL,443,436
134,National Spot Round,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,OPEN,526,471
135,National Spot Round,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,SC,324,323
136,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,Group 1,EWS,527,527
137,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,Group 2,EWS,338,338
138,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,Group 1,OPEN,572,568
139,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,Group 1,SC,377,377
140,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,Group 2,SC,299,299
141,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,Group 1,ST,260,260
142,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Automation and Robotics,Group 1,OBC-NCL,352,347
143,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Automation and Robotics,Group 1,EWS,364,364
144,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Automation and Robotics,Group 1,OPEN,498,404
145,National Spot Round,"National Institute of Technology, Rourkela",Information Security,Group 1,SC,435,433
146,National Spot Round,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Automation and Robotics,Group 1,OPEN,406,406
147,National Spot Round,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Automation and Robotics,Group 1,SC,272,272
148,National Spot Round,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,OBC-NCL,471,436
149,National Spot Round,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,EWS,444,393
150,National Spot Round,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,OPEN,491,475
151,National Spot Round,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,SC,355,355
152,National Spot Round,National Institute of Technology Andhra Pradesh,Bioprocess Engineering,Group 1,OBC-NCL,304,304
153,National Spot Round,National Institute of Technology Patna,Master of Urban & Regional Planning,Group 1,OBC-NCL,288,288
154,National Spot Round,"National Institute of Technology, Rourkela",Master of Urban & Regional Planning,Group 1,OBC-NCL,294,294
155,National Spot Round,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,OBC-NCL,422,422
156,National Spot Round,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,OPEN,441,428
157,National Spot Round,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Biomedical Engineering,Group 1,SC,207,193
158,National Spot Round,National Institute of Technology Agartala,Biotechnology & Biochemical Engineering,Group 1,OPEN,392,392
159,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Bioinformatics,Group 1,OPEN,406,371
160,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Bioinformatics,Group 1,SC,306,306
161,National Spot Round,University of Hyderabad,Bioinformatics,Group 1,ST,441,441
162,National Spot Round,"National Institute of Technology, Kurukshetra",Computer Engineering (Cyber Security),Group 1,OBC-NCL,496,489
163,National Spot Round,"National Institute of Technology, Kurukshetra",Computer Engineering (Cyber Security),Group 1,EWS,469,469
164,National Spot Round,"National Institute of Technology, Kurukshetra",Computer Engineering (Cyber Security),Group 1,OPEN,546,539
165,National Spot Round,"National Institute of Technology, Kurukshetra",Computer Engineering (Cyber Security),Group 1,SC,360,354
166,National Spot Round,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Biotechnology,Group 1,SC,239,239
167,National Spot Round,National Institute of Technology Durgapur,Biotechnology,Group 1,OPEN,394,394
168,National Spot Round,"National Institute of Technology, Warangal",Biotechnology,Group 1,EWS,363,350
169,National Spot Round,"National Institute of Technology, Warangal",Biotechnology,Group 1,OPEN,474,474
170,National Spot Round,National Institute of Technology Hamirpur,Civil Engineering (Geotechnical),Group 1,SC,256,256
171,National Spot Round,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,OBC-NCL,350,342
172,National Spot Round,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,EWS,342,342
173,National Spot Round,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,OPEN,393,393
174,National Spot Round,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,ST,275,275
175,National Spot Round,"National Institute of Technology, Rourkela",Control & Automation,Group 1,OBC-NCL,351,323
176,National Spot Round,"National Institute of Technology, Rourkela",Control & Automation,Group 1,OPEN,374,374
177,National Spot Round,"National Institute of Technology, Warangal",Control & Automation,Group 1,OBC-NCL,370,370
178,National Spot Round,"National Institute of Technology, Warangal",Control & Automation,Group 3,EWS,389,389
179,National Spot Round,"National Institute of Technology, Warangal",Control & Automation,Group 1,OPEN,429,429
180,National Spot Round,"National Institute of Technology, Warangal",Control & Automation,Group 3,OPEN,410,410
181,National Spot Round,"Visvesvaraya National Institute of Technology, Nagpur",CAD-CAM,Group 1,OBC-NCL,324,324
182,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,OBC-NCL,612,610
183,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,EWS,631,628
184,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,OPEN,648,645
185,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,ST,440,440
186,National Spot Round,National Institute of Technology Calicut,Chemical Engineering,Group 1,OPEN,370,370
187,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,Control & Instrumentation,Group 1,OPEN,350,350
