Sr.No, Round  , Institute                                                                      , Program                                                                                                                                      , Stream                                                 , Seat Type      , Quota     , Category          , Opening Rank, Closing Rank
  420, Round 1, Jadavpur University                                                            , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,         3412,         6806
  421, Round 1, Jadavpur University                                                            , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open              ,         2582,         4641
  422, Round 1, Jadavpur University                                                            , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,         3112,        12033
  423, Round 1, Jadavpur University                                                            , Instrumentation & Electronics                                                                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,          328,          342
  424, Round 1, Jadavpur University                                                            , Production Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        26894,        33696
  425, Round 1, Jadavpur University                                                            , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B           ,         4885,         6033
  426, Round 1, Jadavpur University                                                            , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,         4788,         5518
  427, Round 1, Jadavpur University                                                            , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,          842,         2462
  428, Round 1, Jadavpur University                                                            , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        15621,        21919
  429, Round 1, RASHBEHARI PHARMACEUTICAL INSTITUTE                                            , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       735499,       735499
  430, Round 1, "Hemnalini Memorial College of Engineering, Haringhata"                        , Civil And Environmental Engineering                                                                                                          , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        68678,        85889
  431, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Civil And Environmental Engineering                                                                                                          , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,         6200,        20122
  432, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Civil And Environmental Engineering                                                                                                          , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        38883,        42704
  433, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Civil And Environmental Engineering                                                                                                          , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B           ,        23532,        23549
  434, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Civil And Environmental Engineering                                                                                                          , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        25735,        33647
  435, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Civil And Environmental Engineering                                                                                                          , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       130581,       165694
  436, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Civil And Environmental Engineering                                                                                                          , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,        25968,        27283
  437, Round 1, University Of Calcutta                                                         , Polymer Science & Technology (TFW)                                                                                                           , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,         5418,         5675
  438, Round 1, "Netaji Subhas Engineering College, Garia, Kolkata"                            , Computer Science And Business System (TFW)                                                                                                   , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,        14416,        15203
  439, Round 1, "Techno International New Town, Rajarhat, New Town"                            , Computer Science And Business System (TFW)                                                                                                   , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,        26785,        28816
  440, Round 1, Jadavpur University                                                            , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,         4590,         5806
  441, Round 1, "Jis University, Agarpara"                                                     , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,         9283,        21105
  442, Round 1, "Haldia Institute of Pharmacy, Haldia"                                         , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,        14201,        17938
  443, Round 1, "Heritage Institute of Technology, Kolkata"                                    , Computer Science And Business System (TFW)                                                                                                   , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,         5521,         6111
  444, Round 1, "Narula Institute of Technology, Agarpara, Kolkata"                            , Computer Science And Business System (TFW)                                                                                                   , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,        15391,        17028
  445, Round 1, "Techno Main Salt Lake, Sector-V, Salt Lake"                                   , Computer Science And Business System (TFW)                                                                                                   , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,         7995,         9842
  446, Round 1, "Techno India University, Salt Lake"                                           , Computer Science And Business System (TFW)                                                                                                   , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,        16770,        16770
  447, Round 1, "CALCUTTA INSTITUTE OF PHARMACEUTICAL TECH. & ALLIED HEALTH SCIENCES, ULUBERIA", B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,        16219,        20339
  448, Round 1, "ANAND COLLEGE OF EDUCATION, DEBRA, PASCHIM MEDINIPUR"                         , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,        12204,        28555
  449, Round 1, Jadavpur University                                                            , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,         3483,         4025
  450, Round 1, "P.G. INSTITUTE OF MEDICAL SCIENCES, CHANDRAKONA"                              , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,        12241,        22368
  451, Round 1, "BENGAL SCHOOL OF TECHNOLOGY, SUGANDHA, HOOGHLY"                               , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,         8113,        16843
  452, Round 1, "NSHM KNOWLEDGE CAMPUS, KOLKATA GROUP OF INSTITUTIONS, KOLKATA"                , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,          636,         8591
  453, Round 1, "College of Engineering and Management, Kolaghat"                              , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       336640,      1361898
  454, Round 1, "Institute of Science and Technology, Paschim Medinipur"                       , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        32407,        45701
  455, Round 1, Techno International Batanagar                                                 , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        57725,        97594
  456, Round 1, "Aliah University, New Town"                                                   , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open              ,         5855,         7113
  457, Round 1, "Future Institute of Engineering & Management, Sonarpur"                       , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        20178,        89731
  458, Round 1, Jadavpur University                                                            , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        16327,        22848
  459, Round 1, "Guru Nanak Institute of Technology, Panihati, Sodepur"                        , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,         9662,        97946
  460, Round 1, "Guru Nanak Institute of Technology, Panihati, Sodepur"                        , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       251974,      1256667
  461, Round 1, "Heritage Institute of Technology, Kolkata"                                    , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,        70351,       114032
  462, Round 1, "Heritage Institute of Technology, Kolkata"                                    , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,         3539,        11585
  463, Round 1, "Heritage Institute of Technology, Kolkata"                                    , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        13444,        13444
  464, Round 1, "Heritage Institute of Technology, Kolkata"                                    , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        68505,        68505
  465, Round 1, "Heritage Institute of Technology, Kolkata"                                    , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        11800,        30260
  466, Round 1, "Hooghly Engineering & Technology College, Hooghly"                            , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       965257,       965257
  467, Round 1, "Hooghly Engineering & Technology College, Hooghly"                            , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        23471,        98815
  468, Round 1, "Narula Institute of Technology, Agarpara, Kolkata"                            , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       172067,       437168
  469, Round 1, "GITANJALI COLLEGE OF PHARMACY, LOHAPUR, BIRBHUM"                              , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,         4221,        32444
  470, Round 1, "BCDA COLLEGE OF PHARMACY & TECHNOLOGY, CAMPUS-2"                              , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,        19946,        21897
  471, Round 1, "BENGAL COLLEGE OF PHARMACEUTICAL SCIENCE & RESEARCH, DURGAPUR"                , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,        10218,        15170
  472, Round 1, "BENGAL COLLEGE OF PHARMACEUTICAL TECHNOLOGY, DUBRAJPUR, BIRBHUM"              , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,        15260,        29109
  473, Round 1, "GURU NANAK INSTITUTE OF PHARMACEUTICAL SCIENCE AND TECHNOLOGY, SODEPUR"       , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,         2707,         6447
  474, Round 1, Jadavpur University                                                            , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B           ,         1086,         1503
  475, Round 1, Jadavpur University                                                            , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open              ,          453,          740
  476, Round 1, Jadavpur University                                                            , Instrumentation & Electronics                                                                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,         2387,         3132
  477, Round 1, "GUPTA COLLEGE OF TECHNOLOGICAL SCIENCES, ASANSOL, BURDWAN"                    , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,         7432,        16244
  478, Round 1, "BIRBHUM PHARMACY SCHOOL, HETAMPUR, BIRBHUM"                                   , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,         5634,        32573
  479, Round 1, "SCHOOL OF PHARMACY, TECHNO INDIA UNIVERSITY, SALT LAKE"                       , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,         8009,        19702
  480, Round 1, "Adamas University, Barasat"                                                   , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,        11375,        24002
  481, Round 1, "BCDA COLLEGE OF PHARMACY & TECHNOLOGY, HRIDAYPUR, MADHYAMGRAM"                , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,         9991,        16058
  482, Round 1, "NETAJI SUBHASH CHANDRA BOSE INSTITUTE OF PHARMACY ,CHAKDAH, NADIA"            , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,         7894,        18450
  483, Round 1, "EMINENT COLLEGE OF PHARMACEUTICAL TECHNOLOGY, BARASAT"                        , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,        23044,        25492
  484, Round 1, GANDHARI COLLEGE (SCHOOL OF PHARMACY)                                          , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,         7911,        38164
  485, Round 1, SKM INSTITUTE OF PHARMACEUTICAL SCIENCES AND RESEARCH                          , B.Pharm/Pharmaceutical Technology (TFW)                                                                                                      , B. Pharma                                              , WBJEE Seats    , Home State, Tuition Fee Waiver,        23906,        34175
  486, Round 1, ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE                       , ARTIFICIAL INTELLIGENCE (AI)                                                                                                                 , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,        12351,        18318
  487, Round 1, ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE                       , ARTIFICIAL INTELLIGENCE (AI)                                                                                                                 , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        14434,        17736
  488, Round 1, ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE                       , ARTIFICIAL INTELLIGENCE (AI)                                                                                                                 , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open              ,         4234,        10830
  489, Round 1, ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE                       , ARTIFICIAL INTELLIGENCE (AI)                                                                                                                 , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        47286,        72787
  490, Round 1, ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE                       , ARTIFICIAL INTELLIGENCE (AI)                                                                                                                 , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        13326,        21159
  491, Round 1, ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE                       , ARTIFICIAL INTELLIGENCE (AI)                                                                                                                 , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B           ,        10926,        12766
  492, Round 1, "Sister Nivedita University, New Town"                                         , AUGMENTED REALITY (TFW)                                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,        35383,        35383
  493, Round 1, University Of Calcutta                                                         , Instrumentation Engineering                                                                                                                  , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        63072,        65274
  494, Round 1, University Of Calcutta                                                         , Instrumentation Engineering                                                                                                                  , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,         1767,         1833
  495, Round 1, University Of Calcutta                                                         , Instrumentation Engineering                                                                                                                  , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        10137,        11769
  496, Round 1, University Of Calcutta                                                         , Instrumentation Engineering                                                                                                                  , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,         6601,         6983
  497, Round 1, "Narula Institute of Technology, Agarpara, Kolkata"                            , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        14344,        65496
  498, Round 1, "Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan"             , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        45578,        88294
  499, Round 1, "Cooch Behar Government Engineering College, Cooch Behar"                      , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        15798,        20454
  500, Round 1, "Cooch Behar Government Engineering College, Cooch Behar"                      , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        11852,        16610
  501, Round 1, "Cooch Behar Government Engineering College, Cooch Behar"                      , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open              ,         4609,        10702
  502, Round 1, "Cooch Behar Government Engineering College, Cooch Behar"                      , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,        11768,        16589
  503, Round 1, "Cooch Behar Government Engineering College, Cooch Behar"                      , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B           ,        10942,        11181
  504, Round 1, "Cooch Behar Government Engineering College, Cooch Behar"                      , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open (PwD)        ,        86209,        86209
  505, Round 1, "Cooch Behar Government Engineering College, Cooch Behar"                      , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        65125,        82434
  506, Round 1, "Future Institute of Technology, Boral, Garia"                                 , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        60554,        63666
  507, Round 1, "Murshidabad College of Engineering & Technology, Murshidabad"                 , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       200525,       200525
  508, Round 1, "Murshidabad College of Engineering & Technology, Murshidabad"                 , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        57956,        97983
  509, Round 1, "Asansol Engineering College, Asansol, Burdwan"                                , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        14911,        95087
  510, Round 1, "Asansol Engineering College, Asansol, Burdwan"                                , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       252970,      1324703
  511, Round 1, Jadavpur University                                                            , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,         1445,         2025
  512, Round 1, Jadavpur University                                                            , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open (PwD)        ,         5709,        15015
  513, Round 1, Jadavpur University                                                            , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC (PwD)          ,        91116,        91116
  514, Round 1, "Bengal Institute of Technology & Management, Santiniketan"                    , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        38741,        64245
  515, Round 1, Jadavpur University                                                            , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A (PwD)     ,        40384,        40384
  516, Round 1, Jadavpur University                                                            , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B (PwD)     ,        17812,        17812
  517, Round 1, "Asansol Engineering College, Asansol, Burdwan"                                , Electrical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       363911,       864641
  518, Round 1, "Netaji Subhas Engineering College, Garia, Kolkata"                            , Biomedical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       339123,       544492
  519, Round 1, "Netaji Subhas Engineering College, Garia, Kolkata"                            , Biomedical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        12707,        97361
  520, Round 1, "Jis College of Engineering, Kalyani, Nadia"                                   , Biomedical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       466710,       839490
  521, Round 1, "Jis College of Engineering, Kalyani, Nadia"                                   , Biomedical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        31817,        55374
  522, Round 1, "Jis College of Engineering, Kalyani, Nadia"                                   , Biomedical Engineering                                                                                                                       , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        57321,        67230
  523, Round 1, "Bengal Institute of Technology & Management, Santiniketan"                    , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,      1439151,      1439151
  524, Round 1, "Dr. B. C. Roy Engineering College, Durgapur"                                  , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,        77389,      1159992
  525, Round 1, "Dr. B. C. Roy Engineering College, Durgapur"                                  , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        43644,        96243
  526, Round 1, "Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum"    , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       630618,      1469171
  527, Round 1, "Kalyani Goverment Engineering College, Kalyani, Nadia"                        , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open              ,         1778,         2856
  528, Round 1, "Kalyani Goverment Engineering College, Kalyani, Nadia"                        , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,         4125,         5587
  529, Round 1, "Kalyani Goverment Engineering College, Kalyani, Nadia"                        , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,         2995,         6424
  530, Round 1, "Kalyani Goverment Engineering College, Kalyani, Nadia"                        , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        31023,        39701
