Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
1,Special Round 1,National Institute of Technology Raipur,Medical Devices with a specialization in Critical Care and IVD,Group 2,OBC-NCL,350,319
2,Special Round 1,National Institute of Technology Raipur,Medical Devices with a specialization in Critical Care and IVD,Group 2,OPEN,382,372
3,Special Round 1,National Institute of Technology Raipur,Medical Devices with a specialization in Critical Care and IVD,Group 3,OPEN,383,383
4,Special Round 1,National Institute of Technology Raipur,Medical Devices with a specialization in Critical Care and IVD,Group 2,SC,252,219
5,Special Round 1,National Institute of Technology Raipur,Medical Devices with a specialization in Critical Care and IVD,Group 3,SC,194,194
6,Special Round 1,National Institute of Technology Uttarakhand,Signal Processing and Communication System,Group 1,SC,251,251
7,Special Round 1,National Institute of Technology Delhi,Civil and Infrastructure Engineering,Group 1,OBC-NCL,404,337
8,Special Round 1,National Institute of Technology Delhi,Civil and Infrastructure Engineering,Group 1,OPEN,430,430
9,Special Round 1,National Institute of Technology Delhi,Civil and Infrastructure Engineering,Group 1,SC,329,329
10,Special Round 1,National Institute of Technology Patna,Intelligent Transport System,Group 1,SC,252,252
11,Special Round 1,Malaviya National Institute of Technology Jaipur,Petrochemicals and Polymers Technology,Group 1,SC,220,220
12,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Defence and Space Electronics),Group 1,OBC-NCL,342,342
13,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Defence and Space Electronics),Group 1,OPEN,390,370
14,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Defence and Space Electronics),Group 1,SC,286,252
15,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Signal Processing and AI),Group 1,OBC-NCL,323,323
16,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Signal Processing and AI),Group 1,OPEN,443,410
17,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Signal Processing and AI),Group 1,SC,246,210
18,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Semiconductor Chip Design),Group 1,OBC-NCL,385,355
19,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Semiconductor Chip Design),Group 1,EWS,360,360
20,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Semiconductor Chip Design),Group 1,OPEN,427,405
21,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Semiconductor Chip Design),Group 1,SC,286,286
22,Special Round 1,National Institute of Technology Durgapur,AI and Data Analytics in Process Engg,Group 1,OBC-NCL,499,489
23,Special Round 1,National Institute of Technology Durgapur,AI and Data Analytics in Process Engg,Group 1,EWS,503,503
24,Special Round 1,National Institute of Technology Durgapur,AI and Data Analytics in Process Engg,Group 1,OPEN,526,503
25,Special Round 1,National Institute of Technology Durgapur,AI and Data Analytics in Process Engg,Group 1,SC,381,381
26,Special Round 1,National Institute of Technology Durgapur,AI and Data Analytics in Process Engg,Group 1,ST,272,272
27,Special Round 1,National Institute of Technology Durgapur,Robotics & Artificial Intelligence,Group 1,OBC-NCL,340,323
28,Special Round 1,National Institute of Technology Durgapur,Robotics & Artificial Intelligence,Group 1,OPEN,365,350
29,Special Round 1,National Institute of Technology Durgapur,Robotics & Artificial Intelligence,Group 1,SC,290,290
30,Special Round 1,National Institute of Technology Durgapur,Sustainable Materials & Technology,Group 1,SC,252,252
31,Special Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in RF and Microwave Engineering,Group 1,SC,276,276
32,Special Round 1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Autonomous Systems and Machine Intelligence,Group 1,OBC-NCL,423,401
33,Special Round 1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Autonomous Systems and Machine Intelligence,Group 1,EWS,417,417
34,Special Round 1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Autonomous Systems and Machine Intelligence,Group 1,OPEN,479,440
35,Special Round 1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Autonomous Systems and Machine Intelligence,Group 1,SC,298,289
36,Special Round 1,"National Institute of Technology, Kurukshetra",Production & Industrial Systems Engineering,Group 1,OPEN,383,383
37,Special Round 1,"National Institute of Technical Teachers Training & Research, Kolkata",Artificial Intelligence and Machine Learning with Pedagogy,Group 1,OPEN,418,373
38,Special Round 1,"Indian Institute of Information Technology, Kota",Electronics and Communication Engineering with specialization in Semiconductor Technology,Group 1,OPEN,366,366
39,Special Round 1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Dual Degree Program M.Tech. (CSE) + Ph.D. in CSE,Group 1,OPEN,534,534
40,Special Round 1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Dual Degree Program M.Tech. (IT) + Ph.D. in IT,Group 1,OPEN,464,464
41,Special Round 1,"National Institute of Technical Teacher’s Training and Research (NITTTR), Bhopal",M. Tech. in Computer Science and Engineering (Bigdata Analytics),Group 1,OPEN,473,360
42,Special Round 1,"National Institute of Technical Teacher’s Training and Research (NITTTR), Bhopal",M. Tech. in Computer Science and Engineering (Bigdata Analytics),Group 1,ST,260,260
43,Special Round 1,"National Institute of Technical Teacher’s Training and Research (NITTTR), Bhopal",M. Tech. in VLSI & Microelectronics,Group 1,OPEN,370,370
44,Special Round 1,Maulana Azad National Institute of Technology Bhopal,M Plan (Real Estate Planning),Group 1,OPEN,395,395
45,Special Round 1,Maulana Azad National Institute of Technology Bhopal,M Tech (Infrastructure Engineering and Construction Management),Group 1,OBC-NCL,337,337
46,Special Round 1,Maulana Azad National Institute of Technology Bhopal,M Tech (Infrastructure Engineering and Construction Management),Group 1,SC,275,272
47,Special Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Thermal Science and Energy Technology,Group 1,OPEN,402,402
48,Special Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Mining and Mineral Engineering,Group 1,SC,231,231
49,Special Round 1,"National Institute of Electronics and Information Technology, Calicut",Electronics Design technology,Group 1,OBC-NCL,335,335
50,Special Round 1,"National Institute of Electronics and Information Technology, Calicut",Electronics Design technology,Group 1,OPEN,518,377
51,Special Round 1,"National Institute of Electronics and Information Technology, Calicut",Electronics Design technology,Group 1,SC,339,272
52,Special Round 1,"National Institute of Electronics and Information Technology, Calicut",Automotive Electronics,Group 1,OPEN,362,362
53,Special Round 1,"National Institute of Electronics and Information Technology, Calicut",Automotive Electronics,Group 1,SC,259,259
54,Special Round 1,NIELIT Deemed to be University- Ropar,Data Engineering,Group 2,EWS,321,321
55,Special Round 1,NIELIT Deemed to be University- Ropar,Data Engineering,Group 2,OPEN,389,352
56,Special Round 1,NIELIT Deemed to be University Agartala,Data Engineering,Group 2,OPEN,414,360
57,Special Round 1,NIELIT Deemed to be University- Ropar,Cyber Forensics and Information Security,Group 2,OPEN,354,354
58,Special Round 1,NIELIT Deemed to be University- Ropar,Cyber Forensics and Information Security,Group 2,SC,252,252
59,Special Round 1,"National Institute of Electronics and Information Technology, Aurangabad",Embedded System and VLSI Design,Group 1,SC,261,261
60,Special Round 1,Motilal Nehru National Institute of Technology Allahabad,M.Tech. in Medical Diagnostics and Devices,Group 1,OBC-NCL,303,303
61,Special Round 1,Motilal Nehru National Institute of Technology Allahabad,M.Tech. in Medical Diagnostics and Devices,Group 1,OPEN,366,350
