Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
1402,Special Round 2,"National Institute of Technology, Tiruchirappalli",VLSI System,Group 1,OPEN,667,667
1403,Special Round 2,"National Institute of Technology, Tiruchirappalli",VLSI System,Group 2,OPEN,656,656
1404,Special Round 2,"National Institute of Technology, Tiruchirappalli",VLSI System,Group 1,ST,334,334
1405,Special Round 2,National Institute of Technology Calicut,Water Resource Engineering,Group 1,SC,249,249
1406,Special Round 2,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Wireless Networks and Computing,Group 1,EWS,364,364
1407,Special Round 2,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Wireless Networks and Computing,Group 1,OPEN,414,413
1408,Special Round 2,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Wireless Networks and Computing,Group 1,SC,256,256
1409,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Water Resources Engineering & Management,Group 1,SC,247,247
1410,Special Round 2,"National Institute of Technology, Warangal",Water Resources Engineering,Group 1,SC,272,272
1411,Special Round 2,National Institute of Technology Hamirpur,Computer Science & Engineering (Artificial Intelligence),Group 1,OBC-NCL,481,460
1412,Special Round 2,National Institute of Technology Hamirpur,Computer Science & Engineering (Artificial Intelligence),Group 1,EWS,460,460
1413,Special Round 2,National Institute of Technology Hamirpur,Computer Science & Engineering (Artificial Intelligence),Group 1,OPEN,522,510
1414,Special Round 2,National Institute of Technology Hamirpur,Computer Science & Engineering (Artificial Intelligence),Group 1,SC,350,350
1415,Special Round 2,National Institute of Technology Hamirpur,Computer Science & Engineering (Artificial Intelligence),Group 1,ST,260,260
1416,Special Round 2,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Computer Science & Engineering (Artificial Intelligence),Group 1,OBC-NCL,431,423
1417,Special Round 2,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Computer Science & Engineering (Artificial Intelligence),Group 1,OPEN,474,472
1418,Special Round 2,"National Institute of Technology, Kurukshetra",Computer Engineering,Group 1,OBC-NCL,539,532
1419,Special Round 2,"National Institute of Technology, Kurukshetra",Computer Engineering,Group 1,EWS,543,539
1420,Special Round 2,"National Institute of Technology, Kurukshetra",Computer Engineering,Group 1,OPEN,582,572
1421,Special Round 2,"National Institute of Technology, Kurukshetra",Computer Engineering,Group 1,SC,410,410
1422,Special Round 2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering (Information Security),Group 1,OBC-NCL,502,476
1423,Special Round 2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering (Information Security),Group 1,EWS,486,486
1424,Special Round 2,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),Group 1,OBC-NCL,606,595
1425,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering (Information Security),Group 1,EWS,688,688
1426,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering (Information Security),Group 1,OPEN,701,693
1427,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering (Information Security),Group 1,SC,509,509
1428,Special Round 2,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),Group 1,EWS,622,618
1429,Special Round 2,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),Group 1,OPEN,631,624
1430,Special Round 2,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),Group 1,SC,463,443
1431,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering (Information Security),Group 1,OBC-NCL,656,648
1432,Special Round 2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering,Group 1,OBC-NCL,514,502
1433,Special Round 2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering,Group 1,EWS,509,506
1434,Special Round 2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering,Group 1,OPEN,544,542
1435,Special Round 2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering,Group 1,SC,397,380
1436,Special Round 2,Malaviya National Institute of Technology Jaipur,Computer Science & Engineering,Group 1,OBC-NCL,585,582
1437,Special Round 2,Malaviya National Institute of Technology Jaipur,Computer Science & Engineering,Group 1,EWS,622,622
1438,Special Round 2,"International Institute of Information Technology, Bhubaneswar",Computer Science & Engineering,Group 1,EWS,381,364
1439,Special Round 2,"International Institute of Information Technology, Bhubaneswar",Computer Science & Engineering,Group 1,OPEN,430,424
1440,Special Round 2,"International Institute of Information Technology, Bhubaneswar",Computer Science & Engineering,Group 1,SC,289,285
1441,Special Round 2,"Jawaharlal Nehru University, New Delhi",Computer Science & Engineering,Group 1,SC,339,339
1442,Special Round 2,"International Institute of Information Technology, Naya Raipur",Computer Science & Engineering,Group 1,EWS,420,420
1443,Special Round 2,"National Institute of Technology, Rourkela",Biotechnology,Group 1,EWS,337,337
1444,Special Round 2,"National Institute of Technology, Rourkela",Biotechnology,Group 1,OPEN,474,454
1445,Special Round 2,"National Institute of Technology, Warangal",Biotechnology,Group 1,OBC-NCL,377,363
1446,Special Round 2,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,OBC-NCL,362,358
1447,Special Round 2,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,OPEN,393,393
1448,Special Round 2,"National Institute of Technology, Rourkela",Control & Automation,Group 1,OBC-NCL,346,342
1449,Special Round 2,"National Institute of Technology, Rourkela",Control & Automation,Group 1,OPEN,397,378
1450,Special Round 2,"National Institute of Technology, Rourkela",Control & Automation,Group 1,SC,280,279
1451,Special Round 2,"National Institute of Technology, Warangal",Control & Automation,Group 4,OBC-NCL,405,405
1452,Special Round 2,"National Institute of Technology, Warangal",Control & Automation,Group 3,EWS,444,444
1453,Special Round 2,"National Institute of Technology, Warangal",Control & Automation,Group 1,OPEN,433,433
1454,Special Round 2,"National Institute of Technology, Warangal",Control & Automation,Group 3,OPEN,463,463
1455,Special Round 2,"National Institute of Technology, Warangal",Control & Automation,Group 4,OPEN,422,422
1456,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,OBC-NCL,628,620
1457,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,EWS,643,641
1458,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,OPEN,668,650
1459,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,SC,506,506
1460,Special Round 2,"National Institute of Technology, Tiruchirappalli",Chemical Engineering,Group 1,OPEN,428,428
1461,Special Round 2,Motilal Nehru National Institute of Technology Allahabad,Control & Instrumentation,Group 1,OBC-NCL,322,322
1462,Special Round 2,Motilal Nehru National Institute of Technology Allahabad,Control & Instrumentation,Group 1,OPEN,358,355
1463,Special Round 2,"International Institute of Information Technology, Naya Raipur",Computer Science & Engineering,Group 1,OPEN,456,440
1464,Special Round 2,"International Institute of Information Technology, Naya Raipur",Computer Science & Engineering,Group 1,SC,321,321
1465,Special Round 2,"Punjab Engineering College, Chandigarh",Computer Science & Engineering,Group 1,EWS,357,357
1466,Special Round 2,"Punjab Engineering College, Chandigarh",Computer Science & Engineering,Group 1,OPEN,444,433
1467,Special Round 2,"International Institute of Information Technology, Bhubaneswar",Computer Science & Engineering,Group 1,OBC-NCL,379,354
1468,Special Round 2,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Computer Science & Engineering,Group 1,OPEN,423,410
1469,Special Round 2,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Computer Science & Engineering,Group 1,SC,295,295
1470,Special Round 2,"Indian Institute of Information Technology, Pune",Computer Science & Engineering,Group 1,OBC-NCL,473,456
1471,Special Round 2,"Indian Institute of Information Technology, Pune",Computer Science & Engineering,Group 1,EWS,443,443
1472,Special Round 2,"Indian Institute of Information Technology, Pune",Computer Science & Engineering,Group 1,OPEN,542,536
1473,Special Round 2,"International Institute of Information Technology, Naya Raipur",Computer Science & Engineering,Group 1,OBC-NCL,406,406
1474,Special Round 2,Indian Institute of Information Technology Tiruchirappalli,Computer Science & Engineering,Group 1,OBC-NCL,418,410
1475,Special Round 2,Indian Institute of Information Technology Tiruchirappalli,Computer Science & Engineering,Group 1,EWS,410,406
1476,Special Round 2,Indian Institute of Information Technology Tiruchirappalli,Computer Science & Engineering,Group 1,OPEN,446,427
