Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
1,Round 3,Indian Institute of Information Technology Tiruchirappalli,Computer Science & Engineering,Group 1,OBC-NCL,456,448
2,Round 3,Indian Institute of Information Technology Tiruchirappalli,Computer Science & Engineering,Group 1,EWS,436,436
3,Round 3,Indian Institute of Information Technology Tiruchirappalli,Computer Science & Engineering,Group 1,OPEN,523,498
4,Round 3,Indian Institute of Information Technology Tiruchirappalli,Computer Science & Engineering,Group 1,ST,280,280
5,Round 3,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Computer Science & Engineering,Group 1,OBC-NCL,410,397
6,Round 3,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Computer Science & Engineering,Group 1,OPEN,469,456
7,Round 3,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Computer Science & Engineering,Group 1,OPEN,581,577
8,Round 3,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Computer Science & Engineering,Group 1,ST,277,277
9,Round 3,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science & Engineering,Group 1,ST,331,327
10,Round 3,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,Group 1,OBC-NCL,614,610
11,Round 3,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,Group 1,EWS,631,625
12,Round 3,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,Group 1,OPEN,645,639
13,Round 3,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,Group 1,SC,509,509
14,Round 3,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Computer Science & Engineering,Group 1,OBC-NCL,493,473
15,Round 3,"National Institute of Technology, Warangal",Computer Science & Engineering,Group 1,OPEN,754,752
16,Round 3,"National Institute of Technology, Warangal",Computer Science & Engineering,Group 1,SC,572,572
17,Round 3,"National Institute of Technology, Warangal",Computer Science & Engineering,Group 1,ST,436,436
18,Round 3,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science & Engineering,Group 1,OBC-NCL,597,592
19,Round 3,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science & Engineering,Group 1,EWS,614,589
20,Round 3,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science & Engineering,Group 1,OPEN,622,618
21,Round 3,"National Institute of Technology, Warangal",Computer Science & Engineering,Group 1,OBC-NCL,706,706
22,Round 3,"National Institute of Technology, Warangal",Computer Science & Engineering,Group 1,EWS,731,731
23,Round 3,"National Institute of Technology, Srinagar",Computer Science & Engineering,Group 1,EWS,450,448
24,Round 3,"National Institute of Technology, Srinagar",Computer Science & Engineering,Group 1,OPEN,493,493
25,Round 3,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,OBC-NCL,722,722
26,Round 3,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,EWS,754,743
27,Round 3,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,OPEN,764,761
28,Round 3,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,ST,452,452
29,Round 3,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,OPEN,446,445
30,Round 3,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,SC,321,321
31,Round 3,"National Institute of Technology, Silchar",Computer Science & Engineering,Group 1,OBC-NCL,534,526
32,Round 3,"National Institute of Technology, Silchar",Computer Science & Engineering,Group 1,EWS,512,506
33,Round 3,"National Institute of Technology, Silchar",Computer Science & Engineering,Group 1,OPEN,585,569
