Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
751,Round 1,"National Institute of Electronics and Information Technology, Calicut",Automotive Electronics,Group 1,OPEN,463,397
752,Round 1,Central University Of Kashmir,Computer Science and Engineering,Group 1,EWS,346,344
753,Round 1,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Control Systems,Group 1,OBC-NCL,441,429
754,Round 1,"Indian Institute of Space Science and Technology, Thiruvananthapuram",RF and Microwave Engineering,Group 1,OBC-NCL,444,410
755,Round 1,"Indian Institute of Space Science and Technology, Thiruvananthapuram",VLSI and Microsystems,Group 1,OPEN,729,510
756,Round 1,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Quantum Technology,Group 1,EWS,516,516
757,Round 1,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Geoinformatics,Group 1,OPEN,704,597
758,Round 1,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Power Electronics,Group 1,OBC-NCL,448,405
759,Round 1,"National Institute of Technical Teachers Training & Research, Kolkata",Artificial Intelligence and Machine Learning with Pedagogy,Group 1,OPEN,514,401
760,Round 1,NIELIT Deemed to be University- Ropar,Automotive Electronics,Group 1,SC,246,210
761,Round 1,NIELIT Deemed to be University- Ropar,Data Engineering,Group 2,SC,331,314
762,Round 1,NIELIT Deemed to be University- Ropar,Cyber Forensics and Information Security,Group 2,SC,287,285
763,Round 1,NIELIT Deemed to be University- Ropar,Artificial Intelligence,Group 2,SC,334,307
764,Round 1,NIELIT Deemed to be University- Srinagar,Cyber Forensics,Group 2,SC,277,272
765,Round 1,"National Institute of Electronics and Information Technology, Calicut",Embedded Systems,Group 1,OPEN,613,490
766,Round 1,NIELIT Deemed to be University Itanagar,AI and Data Science,Group 2,EWS,417,417
767,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Structural Engineering,Group 1,ST,344,272
768,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Urban Planning,Group 1,SC,311,288
769,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,OBC-NCL,538,526
770,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Water Resource Engineering,Group 1,ST,267,267
771,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Construction Technology and Management,Group 1,SC,355,337
772,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,Group 1,OPEN,393,363
773,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,Group 1,ST,303,273
774,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Production & Industrial Engineering,Group 1,OPEN,400,355
775,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power & Energy Systems,Group 1,OBC-NCL,370,362
776,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,Group 1,EWS,404,389
777,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,Group 1,SC,328,289
778,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,Group 1,EWS,468,305
779,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,Group 2,ST,205,205
780,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Water Resource Engineering,Group 1,EWS,317,317
781,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,Group 1,ST,436,393
782,Round 1,National Institute of Technology Andhra Pradesh,Power Electronics and Drives,Group 1,EWS,376,376
783,Round 1,National Institute of Technology Andhra Pradesh,Bioprocess Engineering,Group 1,OBC-NCL,428,409
784,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Hydraulic Engineering,Group 1,SC,243,243
785,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Aerospace Engineering,Group 1,OBC-NCL,380,340
786,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Aerospace Engineering,Group 1,ST,265,265
787,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,OBC-NCL,503,489
788,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Microelectronics & VLSI Design,Group 1,ST,286,279
789,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",VLSI Design,Group 1,EWS,420,420
790,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",VLSI Design,Group 1,OPEN,509,452
791,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Computer Science & Engineering,Group 1,ST,489,294
792,Round 1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Information and Cyber Security,Group 1,OBC-NCL,535,510
793,Round 1,"Indian Institute of Information Technology, Allahabad",M.Tech. ECE with specialization in Communication Engineering,Group 1,OPEN,506,440
794,Round 1,"Indian Institute of Information Technology, Allahabad",M.Tech. IT with specialization in Software and Data Engineering Group,Group 1,OPEN,731,664
795,Round 1,"Indian Institute of Information Technology, Allahabad",Dual Degree M.Tech. - Ph.D in IT with specialization in Software and Data Engineering Group,Group 1,OPEN,602,565
