Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
1,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Materials Science and Technology,Group 1,OBC-NCL,350,338
2,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Materials Science and Technology,Group 1,OPEN,388,380
3,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Materials Science and Technology,Group 1,SC,286,286
4,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Master of Science in Astronomy and Astrophysics,Group 1,OBC-NCL,401,377
5,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Master of Science in Astronomy and Astrophysics,Group 1,OPEN,473,473
6,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Master of Science in Astronomy and Astrophysics,Group 1,SC,314,314
7,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Master of Science in Astronomy and Astrophysics,Group 1,ST,261,261
8,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Earth System Science,Group 1,OBC-NCL,364,356
9,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Earth System Science,Group 1,EWS,311,311
10,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Earth System Science,Group 1,OPEN,410,376
11,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Earth System Science,Group 1,SC,298,294
12,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Optical Engineering,Group 1,OBC-NCL,373,373
13,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Optical Engineering,Group 1,OPEN,429,414
14,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Optical Engineering,Group 1,SC,276,276
15,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Quantum Technology,Group 1,OBC-NCL,443,436
16,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Quantum Technology,Group 1,EWS,467,467
17,Round 2,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Quantum Technology,Group 1,OPEN,540,510
18,Round 2,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 2,OBC-NCL,473,473
19,Round 2,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 3,OBC-NCL,463,442
20,Round 2,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 2,EWS,473,473
21,Round 2,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 3,EWS,411,411
22,Round 2,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 1,OPEN,546,546
23,Round 2,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 2,OPEN,546,546
24,Round 2,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 3,OPEN,511,466
25,Round 2,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 3,SC,318,314
26,Round 2,"National Institute of Technology, Rourkela",Manufacturing and Automation Engineering,Group 1,OBC-NCL,380,380
27,Round 2,"National Institute of Technology, Rourkela",Manufacturing and Automation Engineering,Group 2,OBC-NCL,380,380
28,Round 2,"National Institute of Technology, Rourkela",Manufacturing and Automation Engineering,Group 3,OBC-NCL,355,338
29,Round 2,"National Institute of Technology, Rourkela",Manufacturing and Automation Engineering,Group 1,OPEN,411,411
30,Round 2,"National Institute of Technology, Rourkela",Manufacturing and Automation Engineering,Group 2,OPEN,394,390
31,Round 2,"National Institute of Technology, Rourkela",Manufacturing and Automation Engineering,Group 3,OPEN,380,362
32,Round 2,"National Institute of Technology, Rourkela",Manufacturing and Automation Engineering,Group 2,SC,266,266
